,Date,Close,STO,RSI,MACD,Defuzzification,Direction,Enter_price,Long,Short,Equity_long,Equity_short,Gain
0,1994-10-23,765.38,75.25103054637394,55.70232329028973,3.619385998051295,3.837762965562567,1,765.38,0.0,0.0,0.0,0.0,0.0
1,1994-10-30,776.15,85.8416242007982,59.10096632509532,3.8985761163959367,3.707646050456911,1,765.38,0.0,0.0,0.0,0.0,0.0
2,1994-11-06,766.08,84.2218312927714,54.86259140524613,3.1986024682421936,3.7594786812016214,1,765.38,0.0,0.0,0.0,0.0,0.0
3,1994-11-13,762.12,81.76314582314302,53.24548724804986,2.3042373799792992,3.8153273010827444,1,765.38,0.0,0.0,0.0,0.0,0.0
4,1994-11-20,764.67,73.37563680577169,54.18202913448439,1.745116767203922,3.805974066343938,1,765.38,0.0,0.0,0.0,0.0,0.0
5,1994-11-27,742.52,56.17396424993612,45.631605159316,-0.15484284708558338,3.41986918685688,1,765.38,0.0,0.0,0.0,0.0,0.0
6,1994-12-04,745.02,42.85716587450336,46.65484704782929,-1.2221570173649816,3.192741585357152,1,765.38,0.0,0.0,0.0,0.0,0.0
7,1994-12-11,719.05,23.629070925879777,38.54031185379669,-3.5257381277323168,3.6025352351700777,1,765.38,0.0,0.0,0.0,0.0,0.0
8,1994-12-18,729.07,23.421377476931298,42.68254226562437,-4.178596286208716,3.4025269938074088,1,765.38,0.0,0.0,0.0,0.0,0.0
9,1994-12-25,742.19,28.04866532384138,47.65707910524074,-3.5552307507796055,3.0375504850519377,1,765.38,0.0,0.0,0.0,0.0,0.0
10,1995-01-01,751.96,44.22813549424416,51.06310213293874,-2.3703168637607446,2.699685589265868,1,765.38,0.0,0.0,0.0,0.0,0.0
11,1995-01-08,749.69,54.44460303718079,50.245016814725844,-1.6585127336661425,3.268242127018411,1,765.38,0.0,0.0,0.0,0.0,0.0
12,1995-01-15,762.16,64.30426898005199,54.552528001181564,-0.33610613157760527,3.7276281499287225,1,765.38,0.0,0.0,0.0,0.0,0.0
13,1995-01-22,762.05,69.24962015389892,54.50769904830884,0.49763137440121696,3.784069613058415,1,765.38,0.0,0.0,0.0,0.0,0.0
14,1995-01-29,758.91,73.76856344655192,53.164660720793435,0.7868729363525127,3.7892804740697237,1,765.38,0.0,0.0,0.0,0.0,0.0
15,1995-02-05,772.06,78.62079106013816,57.84871737989478,1.757468769599987,3.806183788048141,1,765.38,0.0,0.0,0.0,0.0,0.0
16,1995-02-12,790.43,86.64072600806145,63.36131655200864,3.4333666009605555,3.6789032758433415,1,765.38,0.0,0.0,0.0,0.0,0.0
17,1995-02-19,786.97,92.80896383590768,61.72393147647972,4.062515789036583,3.4844424083215038,1,765.38,0.0,0.0,0.0,0.0,0.0
18,1995-02-26,791.08,94.13685024214658,62.9487722768728,4.47644258618816,3.4449637396068504,1,765.38,0.0,0.0,0.0,0.0,0.0
19,1995-03-05,798.79,94.29382239015915,65.1985854607476,4.953314303169227,3.4448118676142094,1,765.38,0.0,0.0,0.0,0.0,0.0
20,1995-03-12,802.22,97.85871606097555,66.18239521436305,5.160211066667209,3.317872209458854,1,765.38,0.0,0.0,0.0,0.0,0.0
21,1995-03-19,808.33,98.82677647131023,67.9220102212897,5.346317063589771,3.2787699870970317,1,765.38,0.0,0.0,0.0,0.0,0.0
22,1995-03-26,818.66,98.89145144797855,70.66913835774048,5.766761030196589,3.282877013164144,1,765.38,0.0,0.0,0.0,0.0,0.0
23,1995-04-02,817.21,94.18259657304789,69.76597193081932,5.547127434184697,3.454746882039434,1,765.38,0.0,0.0,0.0,0.0,0.0
24,1995-04-09,814.69,89.5279817619366,68.13617696022561,4.856891252540715,3.5955205687439133,1,765.38,0.0,0.0,0.0,0.0,0.0
25,1995-04-16,832.64,89.37539117062018,72.97843962648366,5.2031515492476,3.602495246061205,1,765.38,0.0,0.0,0.0,0.0,0.0
26,1995-04-23,823.44,88.06530119743682,67.3307361953015,4.436407613870102,3.638395636438152,1,765.38,0.0,0.0,0.0,0.0,0.0
27,1995-04-30,843.98,93.59912860095476,72.45585464131521,4.900074023966338,3.4676488911020233,1,765.38,0.0,0.0,0.0,0.0,0.0
28,1995-05-07,843.53,89.57337522087035,72.1886584349848,4.759930618790072,3.5934271488264695,1,765.38,0.0,0.0,0.0,0.0,0.0
29,1995-05-14,858.94,95.23029821106093,75.51813600511953,5.249976771449159,3.416734927320035,1,765.38,0.0,0.0,0.0,0.0,0.0
30,1995-05-21,864.57,91.7208839066448,76.61942132463317,5.4732219899136005,3.531821888423993,1,765.38,0.0,0.0,0.0,0.0,0.0
31,1995-05-28,871.87,91.28645287775464,78.00124497398903,5.611639586912169,3.5461812358308635,1,765.38,0.0,0.0,0.0,0.0,0.0
32,1995-06-04,872.97,87.42986562266121,78.21022492403029,5.281173217595214,3.6638830190665397,1,765.38,0.0,0.0,0.0,0.0,0.0
33,1995-06-11,884.38,90.40661716582885,80.30065631050856,5.320066307058642,3.5712587421972843,1,765.38,0.0,0.0,0.0,0.0,0.0
34,1995-06-18,908.65,95.01419047354038,83.84984226224641,6.39699755902906,3.436337350745357,1,765.38,0.0,0.0,0.0,0.0,0.0
35,1995-06-25,938.87,98.95396174137579,86.99240158107635,8.433231553643427,3.322354710268067,1,765.38,0.0,0.0,0.0,0.0,0.0
36,1995-07-02,933.45,97.9717654542493,83.84135716142498,8.670312592810049,3.36360342759868,1,765.38,0.0,0.0,0.0,0.0,0.0
37,1995-07-09,969.76,97.98207492179849,87.18917579530444,10.410640949944138,3.3850824285933117,1,765.38,0.0,0.0,0.0,0.0,0.0
38,1995-07-16,999.33,98.24430205342016,89.15903329495833,12.548085704290905,3.4013189272815896,1,765.38,0.0,0.0,0.0,0.0,0.0
39,1995-07-23,961.77,92.06723555719226,73.66460532555804,10.509707539388017,3.5581590521149393,1,765.38,0.0,0.0,0.0,0.0,0.0
40,1995-07-30,1005.28,90.91073417184408,78.35683400625398,11.110603875817716,3.5933184050398923,1,765.38,0.0,0.0,0.0,0.0,0.0
41,1995-08-06,991.09,86.96399463699538,73.74223838006334,9.62664384359281,3.6987564805686337,1,765.38,0.0,0.0,0.0,0.0,0.0
42,1995-08-13,1004.11,93.29108811743204,75.1862240983414,8.628265430781106,3.5102029302951263,1,765.38,0.0,0.0,0.0,0.0,0.0
43,1995-08-20,1031.28,93.85581477260247,77.91554846351428,8.869931196664687,3.4959622002528428,1,765.38,0.0,0.0,0.0,0.0,0.0
44,1995-08-27,1019.97,95.08439437370832,74.25420075788125,7.400244040221722,3.444787326745432,1,765.38,0.0,0.0,0.0,0.0,0.0
45,1995-09-03,1019.47,93.73661405492423,74.08844851061474,5.607959748549327,3.47014687701131,1,765.38,0.0,0.0,0.0,0.0,0.0
46,1995-09-10,1060.03,94.32692500749857,78.31682702278314,6.315003928151874,3.457780786084784,1,765.38,0.0,0.0,0.0,0.0,0.0
47,1995-09-17,1051.1,93.64799781922409,75.39948715332238,5.378784995598451,3.470780031840945,1,765.38,0.0,0.0,0.0,0.0,0.0
48,1995-09-24,1053.39,93.0102187432226,75.64998265145805,4.165453572128314,3.4785591829106606,1,765.38,0.0,0.0,0.0,0.0,0.0
49,1995-10-01,1043.54,87.31647911706797,72.24249768453919,2.057797896043958,3.6483013442255583,1,765.38,0.0,0.0,0.0,0.0,0.0
50,1995-10-08,1012.04,76.72427695438085,62.54080353379812,-1.886258661669899,3.7403807932895017,1,765.38,0.0,0.0,0.0,0.0,0.0
51,1995-10-15,1018.38,67.23591249645843,63.60033912889843,-4.355422189090959,3.6917578129371886,1,765.38,0.0,0.0,0.0,0.0,0.0
52,1995-10-22,1039.53,65.20786967489018,66.95794658359503,-4.815647217024157,3.6820812620797443,1,765.38,0.0,0.0,0.0,0.0,0.0
53,1995-10-29,1025.55,66.07488788630913,62.83225541509182,-6.223521452436273,3.652309984671912,1,765.38,0.0,0.0,0.0,0.0,0.0
54,1995-11-05,1065.66,77.66837712441789,68.77661125352806,-4.68547865808155,3.6847728638873756,1,765.38,0.0,0.0,0.0,0.0,0.0
55,1995-11-12,1063.87,83.45522366140919,68.25199829411127,-4.044899846464489,3.698215092207554,1,765.38,0.0,0.0,0.0,0.0,0.0
56,1995-11-19,1045.03,89.17672629012833,62.82058595115986,-5.079286295414072,3.5207871366715677,1,765.38,0.0,0.0,0.0,0.0,0.0
57,1995-11-26,1030.17,78.75290040238491,58.843040910056295,-6.843713250425438,3.6383481467388004,1,765.38,0.0,0.0,0.0,0.0,0.0
58,1995-12-03,1055.31,76.23872881604838,63.099746557890825,-6.404916515297344,3.6482764521052005,1,765.38,0.0,0.0,0.0,0.0,0.0
59,1995-12-10,1062.41,80.11957697610211,64.22509393075872,-5.744856859609058,3.6627245334036815,1,765.38,0.0,0.0,0.0,0.0,0.0
60,1995-12-17,1030.48,79.35741964605498,55.959794086059475,-7.45842503769218,3.6241051787877616,1,765.38,0.0,0.0,0.0,0.0,0.0
61,1995-12-24,1046.89,75.8406680207628,58.8880956872981,-7.467963953447054,3.6238903048480804,1,765.38,0.0,0.0,0.0,0.0,0.0
62,1995-12-31,1052.13,72.9406454524938,59.807111681450344,-7.104772598760839,3.6323080417807976,1,765.38,0.0,0.0,0.0,0.0,0.0
63,1996-01-07,1033.47,73.78413450688333,55.084823628597455,-8.036049173847175,3.61087375443192,1,765.38,0.0,0.0,0.0,0.0,0.0
64,1996-01-14,1008.23,62.878018505980585,49.40267598443134,-10.13145855870384,3.549149498731692,1,765.38,0.0,0.0,0.0,0.0,0.0
65,1996-01-21,1018.45,51.404898346350244,51.58061660077462,-10.560613010856777,2.70254578285012,1,765.38,0.0,0.0,0.0,0.0,0.0
66,1996-01-28,1040.96,52.32895112215829,56.066271234177755,-9.114505304824554,2.8615599689396487,1,765.38,0.0,0.0,0.0,0.0,0.0
67,1996-02-04,1072.11,69.73243123032381,61.3960109601256,-5.996668546787632,3.657296978770094,1,765.38,0.0,0.0,0.0,0.0,0.0
